"Hostname","Site","Routing domain","Switching Domain","Serial Number","Login IP","Management Protocol","Uptime","Reload Reason","Memory %","Vendor","Family","Platform","Model","Configuration Register","Version","Processor","Type","API Slug"
"na-oec-02-sag-dev-01.mgmt.omnitracs.com","ot,dc02","","","42033d4e-1750-58c3-c39083b30d35","192.168.52.185","ssh","2 years, 5 months, 1 week, 5 days, 1 hour, 37 minutes","","1.84","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-pem-01.mgmt.omnitracs.com","ot,dc01","","","4227ec67-1cf5-6ee3-a849fc5b9835","192.168.13.100","ssh","3 years, 3 months, 6 days, 10 hours, 55 minutes","","16.17","f5","big-ip","virtual edition","","","15.1.3","","lb",""
"na-oec-02-internal-acpt-01.mgmt.omnitracs.com","ot,dc02","","","42035940-c6d3-0f45-b36e328387fe","192.168.52.183","ssh","1 year, 8 months, 1 week, 6 days, 13 hours, 55 minutes","","4.15","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"na-oec-02-test-pcrf-01.mgmt.omnitracs.com","ot,dc02","","","42039c6f-b869-97f2-24326a41bc13","192.168.52.187","ssh","2 years, 2 months, 2 weeks, 10 hours, 37 minutes","","12.67","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-tst-01.mgmt.omnitracs.com","ot,dc01","","","4227ba53-0a0b-8870-465699311928","192.168.13.12","ssh","2 years, 4 months, 3 weeks, 5 days, 10 hours, 44 minutes","","16.53","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-prd-02.mgmt.omnitracs.com","ot,dc01","","","42278513-d26f-93db-1854ff9e55b3","192.168.13.15","ssh","10 months, 2 weeks, 2 days, 10 hours, 51 minutes","","13.91","f5","big-ip","virtual edition","","","15.1.2.1","","lb",""
"dc1-f5-xrs-int-03.mgmt.omnitracs.com","ot,dc01","","","42279f53-84ca-1845-fed967e83da7","192.168.13.53","ssh","10 months, 2 weeks, 2 days, 10 hours, 34 minutes","","1.78","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-pem-02.mgmt.omnitracs.com","ot,dc01","","","4227a8dd-6f71-d0cb-e6b5e24d7ce1","192.168.13.101","ssh","3 years, 3 months, 6 days, 10 hours, 56 minutes","","20.9","f5","big-ip","virtual edition","","","15.1.3","","lb",""
"dc1-f5-xrs-int-04.mgmt.omnitracs.com","ot,dc01","","","42271680-2486-8ba7-e25a0b37ae5b","192.168.13.54","ssh","1 year, 8 months, 1 week, 6 days, 15 hours, 23 minutes","","1.79","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-intp-02.mgmt.omnitracs.com","ot,dc01","","","42270ab8-292a-c0ed-6bb96952d7d3","192.168.13.49","ssh","1 year, 8 months, 1 week, 6 days, 14 hours, 23 minutes","","4.23","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-prd-01.mgmt.omnitracs.com","ot,dc01","","","4227bf92-fe55-851c-68414809db06","192.168.13.13","ssh","2 years, 4 months, 6 days, 3 hours, 47 minutes","","23.91","f5","big-ip","virtual edition","","","15.1.2.1","","lb",""
"dc1-asm-prd-01.mgmt.omnitracs.com","ot,dc01","","","42270d42-8562-2a16-afaa711351d1","192.168.13.20","ssh","2 years, 2 months, 2 weeks, 5 days, 11 hours, 12 minutes","","35.23","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-f5-xrs-int-01.mgmt.omnitracs.com","ot,dc01","","","42274ab3-cfaa-2df1-2497a40349ed","192.168.13.5","ssh","2 years, 2 months, 3 weeks, 3 days, 21 hours, 35 minutes","","7.63","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"na-oec-02-internal-prod-01.mgmt.omnitracs.com","ot,dc02","","","42039849-f550-2eb6-5f1ce52083f0","192.168.52.181","ssh","2 years, 2 months, 2 weeks, 6 days, 23 hours, 35 minutes","","9.19","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-dev-01.mgmt.omnitracs.com","ot,dc01","","","4227a1f9-5bfe-b9f9-d5067a9cc8f5","192.168.13.11","ssh","10 months, 2 weeks, 2 days, 10 hours, 30 minutes","","6.25","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-tst-02.mgmt.omnitracs.com","ot,dc01","","","42274599-af0a-6e7a-97ef50ca428e","192.168.13.16","ssh","2 years, 4 months, 3 weeks, 5 days, 15 hours, 55 minutes","","8.66","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-pem-api-01.mgmt.omnitracs.com","ot,dc01","","","422730db-763b-bb65-bcaaccfa2b3f","192.168.13.102","ssh","10 months, 2 weeks, 2 days, 10 hours, 40 minutes","","12.57","f5","big-ip","virtual edition","","","15.1.3","","lb",""
